冥	㝠
馍	饝
谟	謩
幕	幙
亩	畮
亩	畆
亩	畝
亩	畒
亩	畂
拿	挐
拿	拏
拿	㧱
奶	嬭
奶	妳
乃	廼
乃	迺
楠	枏
楠	柟
闹	閙
霓	蜺
你	妳
昵	暱
拟	儗
念	唸
年	秊
娘	孃
袅	嫋
袅	嬝
袅	褭
啮	囓
啮	齧
涅	湼
捏	揑
孽	孼
宁	寕
宁	甯
农	辳
衄	衂
衄	䶊
暖	㬉
暖	煖
暖	煗
嫩	嫰
糯	穤
糯	稬
疱	皰
炮	砲
炮	礮
胚	肧
碰	踫
碰	掽
毗	毘
匹	疋
飘	飃
凭	凴
瓶	缾
迫	廹
铺	舖
戚	慼
戚	慽
启	啟
启	唘
棋	棊
棋	碁
栖	棲
凄	淒
凄	悽
旗	旂
弃	棄
憩	憇
铅	鈆
潜	潛
愆	諐
强	強
强	彊
襁	繦
墙	牆
墙	墻
樯	艢
羌	羗
枪	鎗
锹	鍫
憔	顦
憔	癄
跷	蹻
峭	陗
荞	荍
勤	懃
琴	琹
寝	寑
惬	㥦
揿	搇
丘	坵
虬	虯
鳅	鰌
秋	秌
秋	穐
球	毬
曲	麴
驱	駈
驱	敺
券	劵
榷	搉
却	㕁
却	卻
却	郤
群	羣
裙	帬
裙	裠
冉	冄
髯	髥
绕	遶
韧	靭
韧	靱
饪	餁
衽	袵
妊	姙
妊	袵
冗	宂
绒	羢
绒	毧
融	螎
蠕	蝡
软	輭
蕊	蕋
蕊	蘂
蕊	橤
睿	叡
箬	蒻
飒	䬃
腮	顋
伞	繖
伞	傘
散	㪚
桑	桒
涩	濇
涩	澁
鳝	鱓
删	刪
姗	姍
栅	柵
膳	饍
膻	羶
膻	羴
筲	䈰
筲	蕱
蛇	虵
慑	慴
射	䠶
慎	昚
参	㕘
参	葠
参	蓡
升	昇
升	陞
剩	賸
深	㴱
虱	蝨
是	昰
尸	屍
湿	溼
谥	諡
实	寔
时	旹
视	眡
视	眎
柿	柹
倏	儵
倏	倐
庶	庻
竖	豎
漱	潄
疏	疎
薯	藷
饲	飤
祀	禩
厮	廝
俟	竢
似	佀
搜	蒐
溯	泝
溯	遡
宿	㝛
诉	愬
苏	蘓
苏	甦
岁	嵗
笋	筍
飧	飱
锁	鎻
蓑	簑
挲	挱
塔	墖
托	託
拖	拕
驼	駞
拓	搨
它	牠
叹	歎
坛	壜
坛	罈
袒	襢
蹚	䠀
糖	餹
掏	搯
绦	縚
绦	絛
藤	籐
剃	鬀
剃	薙
啼	嗁
蹄	蹏
眺	覜
筒	筩
